Agent Name,Purpose,Model,Memory Type,Persona Context,UI Component,Output Format,Retry Policy,Triggers,Version Introduced,Tags,Dependencies,Execution Time (sec),Cost per Run ($),Concurrency,Data Sensitivity,Success Rate (%),Status,Owner,Business Priority,Data Retention,Audit Required,Access Control,Error Types,Monitoring Level,SLA Target (sec),User Impact,Revenue Impact,Last Updated,Next Review Date,Initial Prompt,Tool Access,Fallback Model,Max Retries,Retry Delay (s),Prompt Strategy,Memory Duration,UI Feedback Mechanism
ROI Calculator Agent,Generates quantifiable financial impact,gpt-4,short_term,TRUE,ROI dashboard,"financial projections, payback",None,Post-Value Driver Agent,v1.4,"finance, roi",Value Driver Agent,8.9,0.25,Limited,High,88.6,Active,Finance Team,Critical,30 days,Yes,Admins Only,"Calculation errors, assumption flaws",Enhanced,15,Direct,High,6/6/2025,6/10/2025,"“You are the ROI Calculator Agent. Compute ROI projections given quantified inputs (e.g., uplift %, cost savings).”","calculator, memory (previous calculations)",gpt-4,2,5,Calculation,calculation_inputs: 14 days,Dashboard widget (numeric output + chart preview)
Business Case Composer Agent,Selects template and merges outputs from branches,gpt-4,short_term,TRUE,Case composer UI,assembled business case (structured),None,Convergence of all branches,v1.5,"assembler, finalizer","Narrative Generator Agent, ROI Calculator Agent, Confidence Scoring Agent",12.4,0.35,No,High,91.8,Beta,Product Team,Critical,Permanent,Yes,Admins Only,"Template mismatch, merge conflicts",Enhanced,20,Direct,High,6/6/2025,6/10/2025,"“You are the Business Case Composer. Compile narrative, value drivers, ROI results, and formatting into a cohesive business case document.”","file, calculator",gpt-4,2,5,CoT,critiques: 14 days,Generated report preview (PDF/HTML)
Template Selector Agent,Recommends optimal business case templates,gpt-4,vector,TRUE,Template gallery,"template_id, match_score, customizations",1 retry,Industry + Use Case analysis,v1.5,"templates, matching",Use Case Mapper Agent,3.8,0.09,Yes,Low,95.2,Planned,Design Team,Medium,Permanent,No,Editors+,"Template unavailable, poor matching",Standard,6,Indirect,Medium,6/6/2025,6/10/2025,“You are the Template Selector. Pick the most suitable business-case or slide template based on context and desired level of detail.”,file,gpt-4,2,5,Matching,template_history: 14 days,Dropdown menu showing matching templates
Collaboration Coordinator Agent,Manages multi-user workflows and permissions,gpt-4,long_term,FALSE,Team activity feed,"user_assignments, review_status, conflicts",None,User collaboration events,v1.6,"collaboration, workflow",Human Review Agent,2.5,0.06,Yes,High,96.7,Planned,Operations Team,High,30 days,Yes,All Users,"Permission conflicts, notification failures",Standard,5,Direct,Medium,6/6/2025,6/10/2025,“You are the Collaboration Coordinator. Orchestrate handoffs between AI agents and human roles; assign tasks and notify participants.”,"internal state, file, notification API",gpt-4,2,5,Orchestration,collaboration_logs: 7 days,Task list + email/push notifications
Analytics Aggregator Agent,Compiles performance metrics and insights,gpt-4,vector,FALSE,Analytics dashboard,"kpis, trends, recommendations",None,Scheduled + on-demand,v1.6,"analytics, reporting",All Agents,15.2,0.45,Limited,Medium,94.1,Planned,Data Team,Medium,90 days,Yes,Admins Only,"Data inconsistency, aggregation errors",Enhanced,30,Indirect,Medium,6/6/2025,6/10/2025,"“You are the Analytics Aggregator. Collect metrics from all agents (e.g., time to complete, success rates) and produce summaries or visualizations.”","file, database",gpt-4,2,5,Aggregation,analytics_data: permanent,Chart/dashboard with summary metrics
Data Integration Agent,Connects to external systems and normalizes data,gpt-4,short_term,FALSE,Data connection status panel,"structured JSON (connection_status, data_mapping)","3 retries, exponential backoff",System startup or manual refresh,v1.7,"integration, data",None,10.5,0.12,Yes,High,92.8,Planned,Data Team,Critical,7 days,Yes,Admins Only,"API failures, schema mismatch",Enhanced,20,Indirect,High,6/11/2025,7/11/2025,"You are the Data Integration Agent. Connect to external systems (CRM, ERP, finance) and normalize data for processing.","API, file, database",gpt-4,3,10,Integration,connection_logs: 14 days,Connection status indicators with error details
Schema Registry Agent,Maintains and validates data schemas across MCP,mixtral-8x7B,long_term,FALSE,Schema validation alerts,"schema_validation_results, issues_list",None,New schema registration or update,v1.7,"schema, validation",Data Integration Agent,3.2,0.04,Yes,Medium,98.2,Planned,Data Team,High,Permanent,Yes,Developers+,"Schema inconsistency, version conflicts",Standard,5,Indirect,Medium,6/11/2025,7/11/2025,"You are the Schema Registry Agent. Maintain central registry of data schemas and validate data against schemas.","file, internal logic",gpt-4,2,5,Validation,schema_registry: permanent,Pop-up validation alerts with schema details
Database Connector Agent,Manages connections to various database types,None (rule-based),short_term,FALSE,Database connection panel,"connection_status, query_metrics",Technical retry logic,Data read/write operations,v1.7,"database, connector",Schema Registry Agent,2.1,0.01,Yes,High,99.1,Planned,Infrastructure Team,Critical,1 day,Yes,System Only,"Connection timeout, query errors",Enhanced,3,Indirect,High,6/11/2025,7/11/2025,"You are the Database Connector Agent. Manage connections to vector, graph, and key-value databases.","database, internal logic",None,5,2,Technical,connection_logs: 7 days,Connection status indicators in admin panel
Benchmark Agent,Provides industry and peer comparison data,gpt-4,vector,TRUE,Benchmark comparison charts,"benchmark_data, percentiles, peer_group",None,Post-ROI calculation,v1.8,"benchmarks, comparison",ROI Calculator Agent,8.7,0.20,Yes,Medium,91.5,Planned,Business Team,Medium,30 days,No,Editors+,"Data staleness, relevance issues",Standard,15,Direct,Medium,6/11/2025,7/11/2025,"You are the Benchmark Agent. Retrieve or generate relevant industry benchmarks for comparison with calculated metrics.","vectorDB, web_search",gpt-4,2,5,RAG,benchmark_data: 90 days,Comparison charts with industry averages
Market Trend Agent,Incorporates market trends into calculations,gpt-4,vector,TRUE,Market trends panel,"trends_list, impact_assessment, sources","1 retry, fallback to cached data",Pre-Business Case composition,v1.8,"market, trends",Benchmark Agent,7.4,0.18,Yes,Low,90.3,Planned,Research Team,Medium,14 days,No,Editors+,"Source reliability, trend relevance",Standard,12,Indirect,Medium,6/11/2025,7/11/2025,"You are the Market Trend Agent. Identify relevant market trends that may influence business value projections.","web_search, vectorDB",gpt-4,2,5,RAG,trend_data: 30 days,Market trend cards with relevance indicators
Sensitivity Analysis Agent,Runs scenario modeling with different assumptions,None (rule-based),short_term,FALSE,What-if analysis dashboard,"scenario_results, sensitivity_charts, recommendations",None,Post-ROI calculation,v1.8,"scenarios, sensitivity",ROI Calculator Agent,5.6,0.03,Limited,Medium,97.8,Planned,Finance Team,High,7 days,Yes,Editors+,"Parameter bounds, calculation errors",Enhanced,10,Direct,High,6/11/2025,7/11/2025,"You are the Sensitivity Analysis Agent. Generate what-if scenarios by varying input parameters within reasonable bounds.","calculator, internal logic",None,1,1,Calculation,scenario_data: 14 days,Interactive what-if sliders with real-time updates
Health Monitoring Agent,Monitors system performance and agent health,None (rule-based),short_term,FALSE,System health dashboard,"health_metrics, alerts, performance_stats","Technical retry logic, alert escalation",Continuous background monitoring,v1.9,"monitoring, health",All Agents,1.0,0.01,Yes,Medium,99.5,Planned,Infrastructure Team,Critical,90 days,Yes,System Admins,"Service outages, performance degradation",Enhanced,1,Indirect,Critical,6/11/2025,7/11/2025,"You are the Health Monitoring Agent. Track system health metrics and alert on anomalies or degradations.","internal metrics, monitoring API",None,3,1,Monitoring,health_metrics: 30 days,System health dashboard with status indicators
Data Auditing Agent,Creates audit trails for all data transformations,None (rule-based),long_term,FALSE,Audit logs viewer,"audit_records, compliance_status, retention_info",None,All data mutations,v1.9,"audit, compliance",All Agents,0.5,0.005,Yes,High,100.0,Planned,Security Team,High,7 years,Yes,Compliance Officers,"Audit gaps, compliance violations",Enhanced,2,Indirect,Medium,6/11/2025,7/11/2025,"You are the Data Auditing Agent. Maintain comprehensive audit trails of all data accesses and transformations.","internal logging, database",None,1,1,Auditing,audit_logs: 7 years,Audit log viewer with filtering options
MCP Protocol Compliance Agent,Ensures agents follow MCP protocols,gpt-4,short_term,FALSE,Compliance alerts,"violation_reports, recommendations, fixes",None,Agent registration and updates,v1.9,"compliance, protocol",All Agents,2.8,0.07,Yes,Medium,96.2,Planned,Architecture Team,Critical,30 days,Yes,System Admins,"Protocol drift, agent violation",Standard,5,Indirect,High,6/11/2025,7/11/2025,"You are the MCP Protocol Compliance Agent. Monitor and enforce compliance with the Model Context Protocol rules.","internal state, memory",gpt-4,2,5,Validation,compliance_reports: 90 days,Protocol compliance alerts with suggested fixes
